Displacement (mm),Force (N)
0.000000,1.043470
0.198202,200.145739
0.396404,648.268190
0.594606,1051.338688
0.792809,1415.075614
0.991011,1626.232853
1.189213,1750.500222
1.387415,1826.199098
1.585617,1866.254383
1.783819,1889.935955
1.982021,1911.918153
2.180223,1934.581621
2.378426,1952.715946
2.576628,1966.920943
2.774830,1978.160172
2.973032,1987.346242
3.171234,1996.093837
3.369436,2000.732285
3.567638,1998.158301
3.765841,1991.043369
3.964043,1974.654347
4.162245,1956.778427
4.360447,1932.665250
4.558649,1916.046409
4.756851,1903.685759
4.955053,1901.325303
5.153255,1903.850318
5.351458,1908.675381
5.549660,1913.262009
5.747862,1917.268123
5.946064,1923.110340
6.144266,1928.236565
6.342468,1933.072274
6.540670,1943.835281
6.738873,1955.133633
6.937075,1971.020548
7.135277,1981.749306
7.333479,1989.777236
7.531681,1998.468209
7.729883,2005.936261
7.928085,2011.406540
8.126287,2019.472842
8.324490,2027.265929
8.522692,2030.145083
8.720894,2031.653543
8.919096,2033.565770
9.117298,2034.592813
9.315500,2036.158919
9.513702,2037.710144
9.711905,2038.873252
9.910107,2038.281719
10.108309,2038.029345
10.306511,2035.720628
10.504713,2032.464535
10.702915,2028.147145
10.901117,2022.982247
11.099319,2016.894122
11.297522,2009.376821
11.495724,2001.918005
11.693926,1993.204484
11.892128,1983.070472
12.090330,1965.209156
12.288532,1954.147113
12.486734,1940.287790
12.684937,1925.940102
12.883139,1912.387897
13.081341,1896.821778
13.279543,1882.132112
13.477745,1867.561135
13.675947,1853.502182
13.874149,1839.513807
14.072351,1826.313735
14.270554,1814.055071
14.468756,1802.185610
14.666958,1790.879019
14.865160,1780.216184
15.063362,1770.174042
15.261564,1761.753609
15.459766,1754.918282
15.657969,1750.231518
15.856171,1749.576127
16.054373,1751.171538
16.252575,1758.088684
16.450777,1767.808342
16.648979,1783.631662
16.847181,1806.375783
17.045383,1837.794327
17.243586,1878.933662
17.441788,1931.840664
17.639990,1997.609401
17.838192,2079.909521
18.036394,2178.672938
18.234596,2292.766625
18.432798,2428.161043
18.631001,2596.784030
18.829203,2813.456875
19.027405,3098.605490
19.225607,3468.012243
19.423809,3950.528823
19.622011,4577.320309
